,/lpc/nct6795d/control/0,/lpc/nct6795d/control/1,/lpc/nct6795d/control/2,/lpc/nct6795d/control/3,/lpc/nct6795d/control/4,/lpc/nct6795d/control/5,/lpc/nct6795d/voltage/0,/lpc/nct6795d/voltage/1,/lpc/nct6795d/voltage/2,/lpc/nct6795d/voltage/3,/lpc/nct6795d/voltage/4,/lpc/nct6795d/voltage/5,/lpc/nct6795d/voltage/6,/lpc/nct6795d/voltage/7,/lpc/nct6795d/voltage/9,/lpc/nct6795d/voltage/10,/lpc/nct6795d/voltage/12,/lpc/nct6795d/voltage/13,/lpc/nct6795d/voltage/14,/lpc/nct6795d/temperature/0,/lpc/nct6795d/temperature/1,/lpc/nct6795d/temperature/2,/lpc/nct6795d/temperature/3,/lpc/nct6795d/temperature/4,/lpc/nct6795d/temperature/6,/lpc/nct6795d/fan/1,/lpc/nct6795d/fan/5,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/fan/0,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VTT","Voltage #11","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #6","Fan #2","Fan #6","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space","Used Space"
05/25/2020 00:00:09,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1.008,1.016,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,60.5,42.5,41,19,22,-1,1741,774,98.4375,98.4375,100,100,99.21875,59,57,58,61,61,3299.999,3299.999,3299.999,3299.999,24.1272354,20.2693119,0,2.17289281,99.99997,73.22587,11.69099,4.274666,67,1873.00012,4006.80029,3746.00024,1554,97,26,11,7,48,6144,5772.30859,371.6914,93.95034,82.789,1122.07031,130.859375,40,51.7497025,67.64215
05/25/2020 00:00:10,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1.008,1.024,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,61,42.5,41,19,22,-1,1719,753,100,98.4375,100,96.875,98.828125,58,56,58,61,62,3299.999,3299.999,3299.999,3299.999,24.3359375,20.486866,0,2.1388483,99.99997,73.30424,11.7035027,4.26215363,67,1873.00012,4006.80029,3746.00024,1556,99,26,12,7,48,6144,5772.30859,371.6914,93.95034,88.5060043,833.9844,130.859375,40,51.7497025,67.64215
05/25/2020 00:00:11,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1.008,1.024,3.40800023,3.37600017,1,0.160000011,1.128,3.40800023,1.008,1.072,1,0.6,1.51200008,61,42.5,41,19,22,-1,1753,788,98.4375,98.4375,98.4375,98.4375,98.4375,59,57,59,62,62,3299.99878,3299.99878,3299.99878,3299.99878,23.8698158,20.0845947,0,2.02018666,99.99996,73.26114,11.6966209,4.26903534,67,1873.00012,4006.80029,3746.00024,1556,99,26,12,7,48,6144,5772.30859,371.6914,93.95034,92.496,781.25,107.421875,40,51.7497025,67.64215
05/25/2020 00:00:12,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1.008,1.016,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,60.5,42.5,41,19,22,-1,1717,747,92.1875,96.875,98.4375,98.4375,96.484375,58,56,59,61,61,3299.99976,3299.99976,3299.99976,3299.99976,23.9529915,20.101553,0,2.15743446,99.99999,73.17393,11.6826973,4.282959,67,1873.00012,4006.80029,3746.00024,1556,99,26,12,6,48,6144,5767.68359,376.3164,93.87506,86.4640045,961.914063,99.609375,40,51.7497025,67.64215
05/25/2020 00:00:13,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1.008,1.016,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,60.5,42.5,41,19,22,-1,1767,754,100,90.625,93.75,92.1875,94.140625,58,56,58,61,61,3299.99854,3299.99854,3299.99854,3299.99854,23.5584278,19.6860466,0,2.18510365,99.9999542,73.25208,11.6951752,4.270481,67,1873.00012,4006.80029,3746.00024,1556,98,26,12,6,48,6144,5767.68359,376.3164,93.87506,87.676,1010.74219,118.164063,40,51.7497025,67.64215
05/25/2020 00:00:14,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1,1.016,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,61,42.5,41,19,22,-1,1741,787,100,100,98.4375,100,99.609375,58,56,58,61,61,3299.999,3299.999,3299.999,3299.999,24.1277466,20.2901211,0,2.12074137,99.99997,73.30309,11.70332,4.26233673,67,1873.00012,4006.80029,3746.00024,1554,87,23,11,6,48,6144,5767.68359,376.3164,93.87506,86.692,1037.10938,130.859375,40,51.7497025,67.64215
05/25/2020 00:00:15,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1.008,1.024,3.42400026,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,61,42.5,41,19,22,-1,1721,758,100,100,100,100,100,59,57,58,63,63,3299.99878,3299.99878,3299.99878,3299.99878,24.3778648,20.5070667,0,2.14733958,99.99996,73.297905,11.7024918,4.26316452,67,1873.00012,4006.80029,3746.00024,1556,97,26,11,7,48,6144,5767.68359,376.3164,93.87506,87.1990051,539.0625,135.742188,40,51.7497025,67.64215
05/25/2020 00:00:16,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1.008,1.016,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,60.5,42.5,41,19,22,-1,1741,769,98.4375,98.4375,100,96.875,98.4375,59,57,59,61,61,3299.99878,3299.99878,3299.99878,3299.99878,24.1439934,20.3369484,0,2.07683086,99.99996,73.32658,11.7070694,4.258587,67,1873.00012,4006.80029,3746.00024,1556,98,27,11,7,48,6144,5767.68359,376.3164,93.87506,94.477005,1157.22656,137.695313,40,51.7497025,67.64215
05/25/2020 00:00:17,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1,1.016,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,61,42.5,41,19,22,-1,1757,756,96.875,98.4375,96.875,98.4375,97.65625,59,57,58,61,61,3299.99829,3299.99829,3299.99829,3299.99829,23.9530277,20.08621,0,2.19237351,99.99995,73.37885,11.715416,4.25024033,67,1873.00012,4006.80029,3746.00024,1554,98,26,12,7,48,6144,5767.68359,376.3164,93.87506,86.2140045,1155.27344,171.875,40,51.7497025,67.64215
05/25/2020 00:00:18,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1.008,1.016,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,60.5,42.5,41,19,22,-1,1724,775,100,96.875,96.875,96.875,97.65625,58,55,57,59,59,3300.00073,3300.00073,3300.00073,3300.00073,23.9555054,20.0986633,0,2.17788482,100.000023,73.38321,11.71611,4.249546,67,1873.00012,4006.80029,3746.00024,1556,98,26,12,7,48,6144,5767.68359,376.3164,93.87506,89.1160049,1048.82813,143.554688,40,51.7497025,67.64215
