,/lpc/nct6795d/control/0,/lpc/nct6795d/control/1,/lpc/nct6795d/control/2,/lpc/nct6795d/control/3,/lpc/nct6795d/control/4,/lpc/nct6795d/control/5,/lpc/nct6795d/voltage/0,/lpc/nct6795d/voltage/1,/lpc/nct6795d/voltage/2,/lpc/nct6795d/voltage/3,/lpc/nct6795d/voltage/4,/lpc/nct6795d/voltage/5,/lpc/nct6795d/voltage/6,/lpc/nct6795d/voltage/7,/lpc/nct6795d/voltage/9,/lpc/nct6795d/voltage/10,/lpc/nct6795d/voltage/12,/lpc/nct6795d/voltage/13,/lpc/nct6795d/voltage/14,/lpc/nct6795d/temperature/0,/lpc/nct6795d/temperature/1,/lpc/nct6795d/temperature/2,/lpc/nct6795d/temperature/3,/lpc/nct6795d/temperature/4,/lpc/nct6795d/temperature/6,/lpc/nct6795d/fan/1,/lpc/nct6795d/fan/5,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/fan/0,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VTT","Voltage #11","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #6","Fan #2","Fan #6","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space","Used Space"
05/24/2020 21:48:59,37.64706,37.64706,57.64706,57.64706,57.64706,57.64706,1.016,1.024,3.42400026,3.37600017,1,0.15200001,1.128,3.40800023,1.008,1.072,1,0.6,1.51200008,53,36.5,38,19,22,-1,1383,760,51.5625,48.4375,50,64.0625,53.515625,50,47,49,54,54,3399.999,3299.999,3299.999,3299.999,17.281,13.58341,0,1.66712117,99.99997,51.3245773,8.194305,7.771351,66,1885.50012,4006.80029,3771.00024,1444,73,41,0,1,45,6144,4937.72656,1206.27344,80.3666458,79.076004,136.71875,17.578125,38,51.46247,67.6419144
05/24/2020 21:49:00,37.64706,37.64706,57.64706,57.64706,57.64706,57.64706,1.008,1.024,3.42400026,3.37600017,1,0.15200001,1.128,3.40800023,1.008,1.072,1,0.6,1.51200008,53.5,37,38,19,22,-1,1374,771,54.6875,56.25,43.75,65.625,55.078125,52,49,51,54,54,3299.999,3299.999,3299.999,3299.999,17.98009,14.2827435,0,1.74099624,99.99997,51.32293,8.194042,7.771614,66,1885.50012,4006.80029,3771.00024,1446,74,41,0,1,45,6144,4942.914,1201.08594,80.45107,91.80801,232.421875,20.5078125,38,51.46247,67.6419144
05/24/2020 21:49:01,37.64706,37.64706,57.64706,57.64706,57.64706,57.64706,1.008,1.024,3.42400026,3.37600017,1,0.15200001,1.128,3.40800023,1.008,1.072,1,0.6,1.51200008,53.5,37,38,19,22,-1,1380,756,43.75,53.125,45.3125,65.625,51.953125,52,47,50,51,51,3399.99878,3299.999,3299.999,3299.999,17.3665276,13.6898346,0,1.68393278,99.99997,51.32178,8.193859,7.771797,65,1885.50012,4006.80029,3771.00024,1450,74,41,0,1,45,6144,4948.35156,1195.64844,80.53957,37.699,6.8359375,17.578125,38,51.46247,67.6419144
05/24/2020 21:49:02,37.64706,37.64706,57.64706,57.64706,57.64706,57.64706,1.016,1.024,3.42400026,3.37600017,1,0.15200001,1.128,3.40800023,1.008,1.064,1,0.6,1.51200008,52.5,37,38,19,22,-1,1384,748,46.875,50,40.625,68.75,51.5625,52,49,51,52,52,3299.99927,3299.99927,3399.999,3299.99927,17.34176,13.6565895,0,1.627341,99.99998,51.33934,8.196663,7.76899338,66,1885.50012,4006.80029,3771.00024,1450,76,43,0,1,45,6144,4947.992,1196.00781,80.53373,92.87,122.070313,23.4375,38,51.46247,67.6419144
05/24/2020 21:49:03,35.6862755,35.6862755,57.64706,57.64706,57.64706,57.64706,1.008,1.024,3.40800023,3.37600017,1,0.15200001,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,54,37,38,19,22,-1,1373,749,50,50,43.75,71.875,53.90625,54,51,53,53,53,3299.95,3299.95,3299.95,3299.95,18.4101982,14.7031488,0,1.74533319,99.99848,51.338768,8.196571,7.769085,67,1885.50012,4006.80029,3771.00024,1448,98,58,0,1,45,6144,5028.133,1115.86719,81.8381,106.833008,186.523438,32.2265625,38,51.46247,67.6419144
05/24/2020 21:49:04,35.6862755,35.6862755,57.64706,57.64706,57.64706,57.64706,1.016,1.024,3.40800023,3.37600017,1,0.15200001,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,53.5,37,38,19,22,-1,1362,785,64.0625,59.375,50,81.25,63.671875,51,47,50,54,54,3300.04858,3300.04858,3300.04858,3300.04858,18.8188515,15.0526619,0,1.872182,100.001472,51.3291664,8.195038,7.77061844,67,1885.50012,4006.80029,3771.00024,1452,80,44,0,1,45,6144,4948.89063,1195.10938,80.54835,99.67901,168.945313,35.15625,38,51.46247,67.6419144
05/24/2020 21:49:05,35.6862755,35.6862755,57.64706,57.64706,57.64706,57.64706,1.008,1.024,3.42400026,3.37600017,1,0.15200001,1.136,3.40800023,1.016,1.072,1,0.6,1.51200008,54.5,37,38,19,22,-1,1366,762,75,67.1875,68.75,87.5,74.609375,52,49,51,54,54,3299.99829,3299.99829,3299.99829,3299.99829,20.7298546,16.8998528,0,2.09480524,99.99995,51.317646,8.193199,7.772457,67,1885.50012,4006.80029,3771.00024,1454,94,52,0,2,45,6144,5010.39844,1133.60156,81.54945,94.39001,162.109375,29.296875,38,51.46247,67.6419144
05/24/2020 21:49:06,35.6862755,35.6862755,57.64706,57.64706,57.64706,57.64706,1.008,1.024,3.42400026,3.37600017,1,0.15200001,1.128,3.40800023,1.008,1.072,1,0.6,1.51200008,53,37,38,19,22,-1,1326,747,48.4375,43.75,42.1875,60.9375,48.828125,52,48,51,54,54,3399.999,3299.999,3299.999,3399.999,17.4866314,13.7821331,0,1.72765362,99.99998,51.2685928,8.185368,7.7802887,67,1885.50012,4006.80029,3771.00024,1458,77,42,0,1,45,6144,5010.914,1133.08594,81.5578461,93.7540054,89.84375,15.625,38,51.46247,67.6419144
05/24/2020 21:49:07,35.6862755,35.6862755,57.64706,57.64706,57.64706,57.64706,1.016,1.024,3.42400026,3.37600017,1,0.15200001,1.128,3.40800023,1.008,1.072,1,0.6,1.51200008,53,37,38,19,22,-1,1340,786,31.25,39.0625,35.9375,67.1875,43.359375,50,49,51,52,53,3399.99829,3299.99829,3299.99829,3399.99829,16.192627,12.5592413,0,1.50445282,99.99995,51.2653236,8.184845,7.78081131,68,1885.50012,4006.80029,3771.00024,1463,89,53,0,1,46,6144,5010.914,1133.08594,81.5578461,101.511,106.445313,9.765625,38,51.46247,67.6419144
